Panel,Deney,Senaryo,Model,n_train,benign_frac_train,LOO-MCC(raw),LOO-MCC(prior),Boot-F1(prior),Boot-std,Boot-CI,Precision,Recall,FLOOR-F1,Gecti_mi_Floor,TP,FP,FN,TN,Train-F1
CFTR,REF_S0c_PriorShift_NB20,REF,REF,,,,,0.863,,,,,0.8955,HAYIR,,,,,
CFTR,R2_REVERSE_7030/lgbm,R2_REVERSE_7030,lgbm,1377,0.7,0.5534,0.5534,0.8377,0.1254,[0.571-1.000],1.0,0.7,0.8955,HAYIR,63,0,27,21,0.984
CFTR,R1_REVERSE_6040/balbag,R1_REVERSE_6040,balbag,1606,0.6,0.5835,0.6343,0.8108,0.1024,[0.537-0.909],0.9865,0.8111,0.8955,HAYIR,73,1,17,20,0.9575
CFTR,R3_REVERSE_8020/balbag,R3_REVERSE_8020,balbag,1200,0.8,0.5239,0.5239,0.8053,0.1367,[0.571-1.000],1.0,0.6667,0.8955,HAYIR,60,0,30,21,0.8485
CFTR,R1_REVERSE_6040/lgbm,R1_REVERSE_6040,lgbm,1606,0.6,0.6481,0.5956,0.7809,0.1251,[0.500-0.909],0.9859,0.7778,0.8955,HAYIR,70,1,20,20,0.9834
CFTR,R2_REVERSE_7030/balbag,R2_REVERSE_7030,balbag,1377,0.7,0.5602,0.5835,0.7792,0.1214,[0.500-0.909],0.9857,0.7667,0.8955,HAYIR,69,1,21,20,0.9229
CFTR,R0_baseline/lgbm,R0_baseline,lgbm,3685,0.262,0.7105,0.5989,0.7407,0.0969,[0.600-0.833],0.9733,0.8111,0.8955,HAYIR,73,2,17,19,0.9849
CFTR,R0_baseline/balbag,R0_baseline,balbag,3685,0.262,0.549,0.6128,0.7384,0.0981,[0.479-0.833],0.9737,0.8222,0.8955,HAYIR,74,2,16,19,0.9466
CFTR,R3_REVERSE_8020/lgbm,R3_REVERSE_8020,lgbm,1200,0.8,0.4327,0.4327,0.6729,0.1389,[0.500-0.909],0.9818,0.6,0.8955,HAYIR,54,1,36,20,0.9809
