name,n_features,cv_f1,cv_f1_std,cv_mcc,cv_aucpr,train_f1,gap,floor_f1,genegroup_f1,fit_seconds
A1_lgbm,522,0.9897479435577479,0.0006027560560503641,0.9836557933542526,0.9992791195361713,1.0,0.010252056442252133,0.5429909668785546,0.9881401575100217,52.5
A1_xgboost,522,0.9894471603973137,0.0008892285426847419,0.9831701981073898,0.9991651078741646,0.9999339822026286,0.010486821805314905,0.5429909668785546,0.9882537084998155,142.1
A1_catboost,522,0.9887583090463533,0.0007422194163653992,0.9820780918533784,0.9991204253164989,0.9914797517598783,0.002721442713525035,0.5429909668785546,0.9875737616901346,505.6
A1_random_forest,522,0.98535562470102,0.0006554504890200664,0.9766468364877878,0.9984490849759837,1.0,0.014644375298979995,0.5429909668785546,0.9842661739686301,141.1
A1_balanced_bagging,522,0.9881518291391295,0.0009381381014024983,0.9810920638302427,0.9990456954202861,0.9951286871694665,0.006976858030336985,0.5429909668785546,0.987305558669229,334.6
A1_smallmlp_H8,522,0.983638584840136,0.0011440894007045809,,,,,0.5429909668785546,,
A2_M1_no_flag,522,0.9897479435577479,0.0006027560560503641,0.9836557933542526,0.9992791195361713,1.0,0.010252056442252133,0.5429909668785546,0.9881401575100217,65.0
A2_M3_flag_median,638,0.9895915076210834,0.0008659720374498729,0.9834083537366146,0.9992826247822603,1.0,0.010408492378916612,0.5429909668785546,0.9881791938709374,69.3
A2_M5_flag_selective_drop,522,0.9897661720469451,0.0006164412384651246,0.9836883582455371,0.9992622258619404,1.0,0.010233827953054941,0.5429909668785546,0.9880584514779152,57.8
A2_native_nan,522,0.9900117560078948,0.0007712085416383463,0.9840767169546567,0.9992969693117806,1.0,0.009988243992105184,0.5429909668785546,0.9884597204773435,65.2
A3_none,522,0.9900117560078948,0.0007712085416383463,0.9840767169546567,0.9992969693117806,1.0,0.009988243992105184,0.5429909668785546,0.9884597204773435,55.3
A3_class_weight,522,0.9899726270165345,0.0006404181504187884,0.984010325627746,0.9993073773977127,1.0,0.010027372983465455,0.5429909668785546,0.9884255249656722,54.4
A3_scale_pos_weight,522,0.9902847193697293,0.0011400702563824695,0.9845048711546859,0.9993122777779166,1.0,0.009715280630270717,0.5429909668785546,0.988329205929191,56.6
A3_real_resample,522,0.989051882138476,0.0007271377721864772,0.9825286394753594,0.9991716903023722,1.0,0.010948117861524054,0.5429909668785546,0.9877990092858958,52.0
A4_all_features,522,0.9902847193697293,0.0011400702563824695,0.9845048711546859,0.9993122777779166,1.0,0.009715280630270717,0.5429909668785546,0.988329205929191,54.2
A4_top200,200,0.9904382276307475,0.0009046803356434025,0.9847501549193483,0.9993152559132137,1.0,0.009561772369252486,0.5429909668785546,0.988596794028284,31.8
A4_top100,100,0.9900417393727923,0.0007441924488723682,0.9841178828937167,0.999258667019846,1.0,0.009958260627207727,0.5429909668785546,0.988291928173226,14.9
A5_all_labels,200,0.9904382276307475,0.0009046803356434025,0.9847501549193483,0.9993152559132137,1.0,0.009561772369252486,0.5429909668785546,0.988596794028284,31.3
A5_qualified_excluded,200,0.990323364801456,0.0008750889474356991,0.9845782298477899,0.9993675033680531,1.0,0.009676635198544004,0.5429909668785546,0.988619556381191,30.4
A5_label_conf_weighted,200,0.9901537092066386,0.0009658988610547747,0.9842956353598458,0.9993151319187049,1.0,0.009846290793361412,0.5429909668785546,0.9884272390282318,30.2
A5_expert_panel_only,200,0.9851844739988234,0.002137661337721881,0.953404671929742,0.9988390559249076,1.0,0.014815526001176638,0.5429909668785546,0.9830608574644604,10.9
A6_with_meta,200,0.9904382276307475,0.0009046803356434025,0.9847501549193483,0.9993152559132137,1.0,0.009561772369252486,0.5429909668785546,0.988596794028284,34.3
A6_without_meta,164,0.9866649036084368,0.0007466308452445093,0.9787261791671733,0.9988730264024033,1.0,0.013335096391563162,0.5429909668785546,0.9796246078277726,28.1
A7_no_fe,200,0.9904382276307475,0.0009046803356434025,0.9847501549193483,0.9993152559132137,1.0,0.009561772369252486,0.5429909668785546,0.988596794028284,31.9
A7_with_fe,208,0.9897314680635603,0.0005932430104780331,0.9836250853305865,0.9992898583084573,1.0,0.010268531936439729,0.5429909668785546,0.9880247747119002,31.7
