feature,importance
AL_98,4.58732498139143
AL_213,4.5660281669348475
AL_183,4.5177203135564925
AL_120,4.510971631109714
AL_132,4.503288308531046
AL_81,4.415790766105056
AL_147,4.374293297529221
AL_99,4.345025927945971
AL_171,4.290402682125569
AL_193,4.206603199988604
AL_102,4.206410568207502
AL_84,4.147221727669239
AL_144,4.115720329806209
AL_126,4.102178604900837
AL_177,3.9434148352593184
is_missing_AL_250,3.9268303360790013
is_missing_AL_20,3.868510055541992
AL_93,3.6754171513020992
AL_42,3.64122531414032
AL_187,3.5143300693482162
AL_48,3.4731607001274822
is_missing_AL_217,3.4188805103302
AL_30,3.3455549001693727
AL_285,3.271057439595461
AL_223,3.2232231944799423
AL_78,3.1197810020297765
AL_135,2.9385778244584797
AL_229,2.873588851094246
AL_257,2.8680336359888314
is_missing_AL_4,2.841769981384277
AL_225,2.8413437586277723
AL_162,2.8192283689975737
AL_54,2.771238351240754
AL_108,2.7553343970328568
AL_168,2.738128438591957
AL_141,2.721508939936757
AL_114,2.6945695888251064
AL_265,2.6278964802622795
AL_180,2.57083434574306
AL_294,2.5655909080058334
AL_286,2.544598466902971
AL_156,2.534593842923641
AL_77,2.500973350182176
AL_245,2.4510971065610647
AL_75,2.4130783092230557
AL_290,2.249342592060566
AL_228,2.2302401468157766
AL_86,2.1154603000730274
AL_32,1.9829643227159977
AL_71,1.9730081781744957
AL_274,1.9019402828067542
AL_261,1.876336432993412
is_missing_AL_216,1.8672525852918624
AL_165,1.8210210468620063
AL_293,1.8150803044438362
AL_222,1.7853611122816802
AL_153,1.7637397546321154
AL_234,1.756682702898979
AL_87,1.7331641808152198
AL_92,1.704357662796974
AL_210,1.6679176088422536
AL_277,1.6279179465025664
is_missing_AL_184,1.554394754767418
AL_214,1.5264726810157299
AL_250,1.4883121401071548
AL_259,1.4249499291181564
AL_65,1.424184972792864
AL_278,1.3690315041691066
AL_217,1.2713857524096965
is_missing_AL_6,1.235669994354248
is_missing_AL_187,1.0581783924251795
is_missing_AL_188,1.0287468165159226
AL_53,1.0031719002872705
AL_95,0.9778487503528595
AL_189,0.8627023715525866
is_missing_CAT_6,0.8565404959022999
AL_74,0.789182347804308
AL_253,0.6806073997169733
AL_59,0.6334897629916668
is_missing_AL_27,0.6144614815711975
AL_282,0.6059531480073929
AL_31,0.5767268352210522
is_missing_AL_75,0.5387821737676859
is_missing_AL_287,0.5250204533338547
AL_35,0.46321150064468386
AL_328,0.4426296904683113
AL_27,0.36959330439567567
AL_50,0.3180404484272003
is_missing_AL_189,0.1686775028705597
AL_37,0.09712864905595779
is_missing_AL_76,0.07324124947190284
AL_56,0.06680364906787872
is_missing_AL_251,0.0483733981847763
is_missing_AL_190,0.037604451179504395
is_missing_AL_252,0.015165600180625915
is_missing_AL_239,0.0
is_missing_AL_238,0.0
is_missing_AL_237,0.0
is_missing_AL_235,0.0
is_missing_AL_234,0.0
is_missing_AL_285,0.0
is_missing_AL_288,0.0
is_missing_AL_289,0.0
is_missing_AL_232,0.0
is_missing_AL_279,0.0
is_missing_AL_242,0.0
is_missing_AL_230,0.0
is_missing_AL_229,0.0
is_missing_AL_228,0.0
is_missing_AL_226,0.0
is_missing_AL_225,0.0
is_missing_AL_224,0.0
is_missing_AL_223,0.0
is_missing_AL_290,0.0
is_missing_AL_222,0.0
is_missing_AL_221,0.0
is_missing_AL_219,0.0
is_missing_AL_218,0.0
is_missing_AL_291,0.0
is_missing_AL_293,0.0
is_missing_AL_241,0.0
is_missing_AL_245,0.0
is_missing_AL_243,0.0
is_missing_AL_278,0.0
is_missing_AL_277,0.0
is_missing_AL_275,0.0
is_missing_AL_281,0.0
is_missing_AL_274,0.0
is_missing_AL_273,0.0
is_missing_AL_271,0.0
is_missing_AL_270,0.0
is_missing_AL_268,0.0
is_missing_AL_266,0.0
is_missing_AL_265,0.0
is_missing_AL_264,0.0
is_missing_AL_262,0.0
is_missing_AL_261,0.0
is_missing_AL_260,0.0
is_missing_AL_259,0.0
is_missing_AL_282,0.0
is_missing_AL_258,0.0
is_missing_AL_257,0.0
is_missing_AL_255,0.0
is_missing_AL_254,0.0
is_missing_AL_253,0.0
is_missing_AL_283,0.0
is_missing_AL_249,0.0
is_missing_AL_247,0.0
is_missing_AL_246,0.0
AL_29,0.0
is_missing_AL_78,0.0
is_missing_AL_213,0.0
is_missing_AL_83,0.0
is_missing_AL_81,0.0
is_missing_AL_79,0.0
is_missing_AL_77,0.0
is_missing_AL_38,0.0
is_missing_AL_37,0.0
is_missing_AL_36,0.0
is_missing_AL_35,0.0
is_missing_AL_34,0.0
is_missing_AL_33,0.0
is_missing_AL_32,0.0
is_missing_AL_31,0.0
is_missing_AL_30,0.0
is_missing_AL_29,0.0
is_missing_AL_28,0.0
is_missing_AL_25,0.0
is_missing_AL_24,0.0
is_missing_AL_23,0.0
is_missing_AL_22,0.0
is_missing_AL_21,0.0
AL_41,0.0
is_missing_AL_5,0.0
AL_44,0.0
AL_47,0.0
AL_62,0.0
AL_89,0.0
AL_200,0.0
AL_216,0.0
AL_252,0.0
AL_288,0.0
is_missing_AL_82,0.0
is_missing_AL_84,0.0
is_missing_AL_211,0.0
is_missing_AL_85,0.0
is_missing_AL_210,0.0
is_missing_AL_209,0.0
is_missing_AL_207,0.0
is_missing_AL_206,0.0
is_missing_AL_205,0.0
is_missing_AL_203,0.0
is_missing_AL_202,0.0
is_missing_AL_201,0.0
is_missing_AL_200,0.0
is_missing_AL_199,0.0
is_missing_AL_198,0.0
is_missing_AL_196,0.0
is_missing_AL_194,0.0
is_missing_AL_193,0.0
is_missing_AL_192,0.0
is_missing_AL_98,0.0
is_missing_AL_97,0.0
is_missing_AL_96,0.0
is_missing_CAT_2,0.0
is_missing_AL_95,0.0
is_missing_AL_94,0.0
is_missing_AL_93,0.0
is_missing_AL_92,0.0
is_missing_AL_91,0.0
is_missing_AL_90,0.0
is_missing_AL_89,0.0
is_missing_AL_88,0.0
is_missing_AL_87,0.0
is_missing_AL_86,0.0
is_missing_AL_294,0.0
