model,f1,auc_roc,auc_pr,mcc,precision,recall,specificity,balanced_accuracy,cohens_kappa,elapsed_sec,best_params,type,panel,threshold
lightgbm,0.9453734671125975,0.9714956287038667,0.9862121300776296,0.8153356725758762,0.9217391304347826,0.9702517162471396,0.8153846153846154,0.8928181658158775,0.8121603260869565,45.9,"{'n_estimators': 200, 'num_leaves': 127, 'learning_rate': 0.1}",base,General,
xgboost,0.9451287793952967,0.9682332922607523,0.9850868275912126,0.8153972856752024,0.9254385964912281,0.965675057208238,0.8256410256410256,0.8956580414246318,0.8132567900043417,79.7,"{'n_estimators': 200, 'max_depth': 4, 'learning_rate': 0.05}",base,General,
dnn,0.8849945235487404,0.8903948835298949,0.9407443471306306,0.5948181657618083,0.8487394957983193,0.9244851258581236,0.6307692307692307,0.7776271783136772,0.5878056052474656,91.3,"{'n_layers': 3, 'hidden_dim': 512, 'dropout': 0.3, 'lr': 0.001}",base,General,
svm,0.8954895489548955,0.896027694654697,0.9436439421226992,0.6352437553888687,0.8622881355932204,0.931350114416476,0.6666666666666666,0.7990083905415712,0.6292911830081502,460.9,"{'C': 10, 'gamma': 'scale'}",base,General,
stacking_lgbm,0.9444444444444444,0.9619785249075867,0.9754445956623682,0.8115560975883638,0.91792656587473,0.9725400457665904,0.8051282051282052,0.8888341254473977,0.8074790724877847,,"{'n_estimators': 50, 'num_leaves': 15, 'learning_rate': 0.05}",meta,General,0.2799999999999999
stacking_nn,0.9504504504504504,0.9663674235756615,0.9817349587344434,0.8346986705599477,0.9356984478935698,0.965675057208238,0.8512820512820513,0.9084785542451446,0.8335268974269945,,"{'dropout': 0.3, 'lr': 0.001}",meta,General,0.16999999999999998
diversity_lgbm,0.9445073612684032,0.9606289972422695,0.9755480172801209,0.8164094128332864,0.9349775784753364,0.954233409610984,0.8512820512820513,0.9027577304465176,0.8159427525378599,,"{'n_estimators': 50, 'num_leaves': 31, 'learning_rate': 0.05}",diversity,General,0.5499999999999998
diversity_nn,0.9495412844036697,0.9661327231121282,0.9812260737994807,0.8373211888609375,0.9517241379310345,0.9473684210526315,0.8923076923076924,0.9198380566801619,0.8372982903682553,,"{'dropout': 0.3, 'lr': 0.001}",diversity,General,0.5199999999999998
