Method,Threshold,Boot_F1_mean,Boot_F1_std,Boot_F1_lo,Boot_F1_hi,MCC
raw_f1_max,0.23999999999999994,0.7230303030303031,0.10986704823990727,0.4444444444444444,0.8333333333333334,0.5855400437691199
weighted_f1_max,0.76,0.5455555555555556,0.22049247428638288,0.0,0.8576388888888886,0.3141941258488909
boot_8020_robust,0.23,0.7230303030303031,0.10986704823990727,0.4444444444444444,0.8333333333333334,0.5855400437691199
