Strategy,Threshold,Boot_F1_mean,Boot_F1_std,Boot_F1_lo,Boot_F1_hi,MCC,Precision,Recall,TN,FP,FN,TP
m3,0.88,0.2325108819479529,0.1266416851532781,0.1111111111111111,0.45454545454545453,0.14034753487206048,0.9615384615384616,0.16286644951140064,60,2,257,50
no_flags,0.88,0.2325108819479529,0.1266416851532781,0.1111111111111111,0.45454545454545453,0.14034753487206048,0.9615384615384616,0.16286644951140064,60,2,257,50
knn,0.92,0.15582249742002066,0.11467521701631643,0.0,0.3157894736842105,0.1181061975305365,0.9705882352941176,0.10749185667752444,61,1,274,33
sentinel,0.64,0.4565454589166733,0.13828322839409138,0.19047619047619047,0.6896551724137931,0.2521422182548399,0.9669421487603306,0.3811074918566775,58,4,190,117
