Strategy,Threshold,Boot_F1_mean,Boot_F1_std,Boot_F1_lo,Boot_F1_hi,MCC,Precision,Recall,TN,FP,FN,TP
m3,0.76,0.5455555555555556,0.22049247428638288,0.0,0.8576388888888886,0.3141941258488909,1.0,0.36666666666666664,21,0,57,33
no_flags,0.76,0.5455555555555556,0.22049247428638288,0.0,0.8576388888888886,0.3141941258488909,1.0,0.36666666666666664,21,0,57,33
knn,0.86,0.39055555555555554,0.2583599576654008,0.0,0.8576388888888886,0.2537081317024624,1.0,0.26666666666666666,21,0,66,24
sentinel,0.89,0.2578571428571429,0.22405773976432797,0.0,0.5714285714285714,0.18351287678257672,1.0,0.15555555555555556,21,0,76,14
