feature,importance
AL_187,0
AL_31,0
is_missing_AL_20,0
is_missing_AL_184,0
is_missing_AL_90,0
is_missing_AL_82,0
is_missing_AL_83,0
is_missing_AL_84,0
is_missing_AL_85,0
is_missing_AL_86,0
is_missing_AL_87,0
is_missing_AL_88,0
is_missing_AL_89,0
is_missing_AL_91,0
is_missing_AL_21,0
is_missing_AL_92,0
is_missing_AL_93,0
is_missing_AL_94,0
is_missing_AL_95,0
is_missing_CAT_2,0
is_missing_AL_96,0
is_missing_AL_97,0
is_missing_AL_98,0
is_missing_AL_81,0
is_missing_AL_79,0
is_missing_AL_78,0
is_missing_AL_76,0
is_missing_AL_22,0
is_missing_AL_23,0
is_missing_AL_24,0
is_missing_AL_25,0
is_missing_AL_27,0
is_missing_AL_28,0
is_missing_AL_29,0
is_missing_AL_30,0
is_missing_AL_31,0
is_missing_AL_32,0
is_missing_AL_33,0
is_missing_AL_34,0
is_missing_AL_35,0
is_missing_AL_36,0
is_missing_AL_37,0
is_missing_AL_38,0
is_missing_AL_75,0
is_missing_AL_294,0
