,lgbm_optuna,xgboost,catboost,random_forest,balanced_bagging
lgbm_optuna,1.0,0.9977842071052067,0.9968363828890351,0.9906336093271745,0.9965167340451695
xgboost,0.9977842071052067,1.0,0.9982672260291038,0.9927925072004209,0.9985975676982838
catboost,0.9968363828890351,0.9982672260291038,1.0,0.9945032656884233,0.9987925210233531
random_forest,0.9906336093271745,0.9927925072004209,0.9945032656884233,1.0,0.993815228540617
balanced_bagging,0.9965167340451695,0.9985975676982838,0.9987925210233531,0.993815228540617,1.0
