,0
chasmplus_LAML__pval,0.7891214221526983
thousandgenomes__afr_af,0.7870874913689316
phdsnpg__fdr,0.7829642791023894
chasmplus_DLBC__score,0.7817023295781391
chasmplus_DLBC__pval,0.7817021856120948
gnomad3__af_nfe,0.7790966174065382
chasmplus_THCA__score,0.7771218748141902
chasmplus_THCA__pval,0.7771216703824072
chasmplus_READ__score,0.7769722025316984
chasmplus_READ__pval,0.7769704864564496
chasmplus_SARC__score,0.7736189316057794
chasmplus_SARC__pval,0.7736188440744245
ncer__score,0.7712792531299638
phastcons__phastcons100_vert_r,0.7691888506409583
phastcons__phastcons100_vert,0.7691888506409583
gnomad__af_eas,0.7670565915938121
gerp__gerp_rs_rank,0.7644653721822606
gerp__gerp_rs,0.7644653704523594
genocanyon__score,0.7623085849754235
thousandgenomes__amr_af,0.7617654118794449
thousandgenomes_african__acb_af,0.760110465262624
sift__seqs,0.7591542634681524
chasmplus_GBM__score,0.7517833638261477
chasmplus_GBM__pval,0.7517815256676934
chasmplus_PRAD__score,0.7494430604470322
chasmplus_PRAD__pval,0.7494418833806535
allofus250k__gvs_sas_af,0.7486757872975555
allofus250k__gvs_sas_ac,0.7485824262136891
chasmplus_KIRC__score,0.7474381507304076
chasmplus_KIRC__pval,0.7474378702845532
chasmplus_LGG__score,0.7468380276986385
chasmplus_LGG__pval,0.7468366755695499
chasmplus_KIRP__score,0.7455095931174758
chasmplus_KIRP__pval,0.7455095654759955
gnomad4__nhomalt_afr,0.7454618850259145
thousandgenomes_african__asw_af,0.7419779400696784
allofus250k__gvs_mid_af,0.7416532611050117
allofus250k__gvs_mid_ac,0.7415995009599294
gnomad4__nhomalt_rem,0.7402717281310771
chasmplus_SKCM__pval,0.739517349736138
chasmplus_SKCM__score,0.7395173353395337
phastcons__phastcons470_mamm_r,0.7383926108288277
phastcons__phastcons470_mamm,0.7383926108288277
chasmplus_LUAD__score,0.7345747639359401
chasmplus_LUAD__pval,0.7345745318626766
chasmplus_ESCA__score,0.7332288967943984
chasmplus_ESCA__pval,0.7332286670245916
thousandgenomes_african__yri_af,0.7331518813198104
chasmplus_OV__score,0.7324008219590427
chasmplus_OV__pval,0.7324001211323387
thousandgenomes_african__lwk_af,0.7310639801896646
chasmplus_COAD__score,0.7305853865292614
chasmplus_COAD__pval,0.7305837493474048
thousandgenomes_african__esn_af,0.7283930662274575
gnomad3__af_sas,0.7281514683936843
chasmplus_LIHC__score,0.7276519752957863
chasmplus_LIHC__pval,0.7276511086201991
thousandgenomes_african__msl_af,0.7268842412740739
thousandgenomes_african__gwd_af,0.7251949895182189
chasmplus_CESC__score,0.7247254744324403
chasmplus_CESC__pval,0.7247249002958552
genocanyon__rankscore,0.724723970685591
gnomad4__af_asj,0.7222624248743874
gnomad4__ac_asj,0.722153531233776
chasmplus_STAD__score,0.7164038627568522
chasmplus_STAD__pval,0.7164016975075449
chasmplus_BLCA__score,0.7162660861006734
chasmplus_BLCA__pval,0.7162595022455329
chasmplus__score,0.7161856977649607
chasmplus__pval,0.7161855382505837
chasmplus_BRCA__score,0.7154792258644963
chasmplus_BRCA__pval,0.7154761323221352
chasmplus_LUSC__score,0.7135832846227101
chasmplus_LUSC__pval,0.7135816606857297
ccr__cov_score,0.7133605180346777
thousandgenomes_ad_mixed_american__pur_af,0.7116388551989197
