,n,prevalence_patho,floor_f1,ortalama_eksiklik,feature_sayisi,yorumlanabilir
"Yarisma (MASTER, anonim)",2931,0.733,0.846,0.55,351,Hayir
"63k (missense, legacy)",60970,0.3727,0.543,0.3799,527,Evet (SHAP)
