panel,best_single_model,single_f1,best_stack_model,stacking_f1,delta_f1
All,xgboost,0.5796019900497512,stacking_lr,0.5842424242424242,0.004640434192673015
General,lightgbm,0.6120689655172413,stacking_lr,0.5574912891986062,-0.05457767631863508
Hereditary_Cancer,xgboost,0.6526315789473685,stacking_lr,0.64,-0.012631578947368438
PAH,lightgbm,0.6037735849056604,stacking_lr,0.5263157894736842,-0.07745779543197617
