config_id,model_type,fe_state,mode,panel,best_threshold,f1_default,n_train,n_test,n_features,f1,auc_roc,auc_pr,mcc,precision,recall,specificity,balanced_accuracy,cohens_kappa,time_seconds
stacking_lr_clean_fe_multi_panel,stacking_lr,clean_fe,multi_panel,All,0.3799999999999999,0.5680119581464873,3429,858,1499,0.5842424242424242,0.748875112488751,0.5951706519242468,0.3391865620014348,0.43738656987295826,0.8795620437956204,0.4691780821917808,0.6743700629937006,0.274962922084641,107.67265725135803
stacking_lr_clean_fe_single_General,stacking_lr,clean_fe,single_panel,General,0.3999999999999998,0.5539112050739958,2524,632,1495,0.5574912891986062,0.7248371765534236,0.5117237871929803,0.30107205639485746,0.42216358839050133,0.8205128205128205,0.4988558352402746,0.6596843278765475,0.2532122554173374,86.50320029258728
stacking_lr_clean_fe_single_Hereditary_Cancer,stacking_lr,clean_fe,single_panel,Hereditary_Cancer,0.3599999999999999,0.5647058823529412,572,143,1495,0.64,0.8113905325443787,0.6377145584767703,0.48776343453164556,0.5245901639344263,0.8205128205128205,0.7211538461538461,0.7708333333333333,0.4604904632152589,31.246712923049927
stacking_lr_clean_fe_single_PAH,stacking_lr,clean_fe,single_panel,PAH,0.45999999999999985,0.44,259,65,1495,0.5263157894736842,0.6028138528138528,0.4902436593925689,0.22297587656198675,0.4166666666666667,0.7142857142857143,0.5227272727272727,0.6185064935064934,0.19972640218878246,22.38979482650757
stacking_lgbm_clean_fe_multi_panel,stacking_lgbm,clean_fe,multi_panel,All,0.45999999999999985,0.5584795321637427,3429,858,1499,0.5788819875776398,0.7316424607539246,0.5835321182795703,0.32647933383263067,0.4387947269303202,0.8503649635036497,0.4897260273972603,0.670045495450455,0.27230286563489803,102.48605346679688
stacking_lgbm_clean_fe_single_General,stacking_lgbm,clean_fe,single_panel,General,0.4199999999999998,0.5165289256198347,2524,632,1495,0.5412130637636081,0.6929648536055859,0.47768916035698417,0.2697467381829074,0.38839285714285715,0.8923076923076924,0.37299771167048057,0.6326527019890864,0.19518596539696798,77.72628211975098
stacking_lgbm_clean_fe_single_Hereditary_Cancer,stacking_lgbm,clean_fe,single_panel,Hereditary_Cancer,0.48999999999999977,0.6055045871559633,572,143,1495,0.6306306306306306,0.8175542406311637,0.6190413255554605,0.4824870498368869,0.4861111111111111,0.8974358974358975,0.6442307692307693,0.7708333333333334,0.4283903675538657,31.343708038330078
stacking_lgbm_clean_fe_single_PAH,stacking_lgbm,clean_fe,single_panel,PAH,0.13,0.41379310344827586,259,65,1495,0.5121951219512195,0.5086580086580087,0.3954103853304929,0.17690837255533962,0.3442622950819672,1.0,0.09090909090909091,0.5454545454545454,0.06069364161849722,21.99679708480835
