Model,Pool,Threshold,F1_raw,Boot_F1_8020,CI_lo,CI_hi,Above_Floor
LightGBM,Original,0.46999999999999986,0.9312977099236641,0.44125722316898786,0.33774509803921565,0.6,True
BalBag_LGBM,Original,0.1,0.9117647058823529,0.3374481055580126,0.3157894736842105,0.4,True
RandomForest,Original,0.3899999999999999,0.9117647058823529,0.3374481055580126,0.3157894736842105,0.4,True
BalBag_LGBM,Reverse_6040,0.1,0.9007633587786259,0.38242266299232236,0.25375,0.4913461538461538,True
