,0
chasmplus_PAAD__score,3
mutationtaster__model,3
uk10k_cohort__uk10k_ac,3
polyphen2__hdiv_pred,3
phylop__phylop470_mamm_r,3
thousandgenomes_east_asian__cdx_af,3
thousandgenomes_european__gbr_af,3
gnomad4__nhomalt_afr,3
chasmplus_LIHC__pval,3
chasmplus_KICH__pval,3
chasmplus_KICH__score,3
spliceai__dp_dg,3
gnomad4__an_amr,3
gnomad4__ac,3
esm1b__pp3_pathogenic,3
gwas_catalog__risk_allele_match,3
gnomad4__af_fin,3
gnomad4__an_fin,3
allofus250k__gvs_mid_ac,3
chasmplus_THYM__score,3
sift__pp3_pathogenic,3
metarnn__bp4_benign,3
gnomad4__af_rem,3
chasmplus_CHOL__score,2
varity_r__pp3_pathogenic,2
gnomad4__af_afr,2
polyphen2__hvar_pred,2
chasmplus_TGCT__pval,2
gnomad4__an_afr,2
chasmplus_CESC__score,2
thousandgenomes__eur_af,2
gnomad3__af_oth,2
thousandgenomes_ad_mixed_american__pel_af,2
ccr__syn_density,2
gnomad4__an_nfe,2
fathmm_mkl__fathmm_mkl_coding_rankscore,2
gnomad4__ac_amr,2
genehancer__target_genes,2
thousandgenomes_south_asian__pjl_af,2
ccr__cpg,2
gnomad4__af_asj,2
gnomad4__an_asj,2
fathmm_xf_coding__pp3_pathogenic,2
allofus250k__gvs_sas_ac,2
bayesdel__pp3_pathogenic,2
lrt__lrt_pred,2
thousandgenomes_european__ceu_af,2
mutation_assessor__pp3_pathogenic,2
gnomad4__af_mid,2
metalr__pp3_pathogenic,1
thousandgenomes_european__fin_af,1
thousandgenomes__amr_af,1
metalr__pred,1
cardioboost__cardiomyopathy,1
metasvm__pp3_pathogenic,1
fathmm_mkl__bp4_benign,1
vest__pp3_pathogenic,1
mutation_assessor__bp4_benign,1
cadd__pp3_pathogenic,1
mistic__pp3_pathogenic,1
brca1_func_assay__score,1
alphamissense__am_class,1
cadd__phred,1
mutpred1__pp3_pathogenic,1
mutpred2__pp3_pathogenic,1
uk10k_cohort__uk10k_af,1
uk10k_cohort__uk10k_alspac_af,1
thousandgenomes_african__acb_af,1
phdsnpg__pp3_pathogenic,1
thousandgenomes_african__lwk_af,1
thousandgenomes_east_asian__khv_af,1
original_input__chrom,1
thousandgenomes_south_asian__stu_af,1
genehancer__feature_name,1
ccr__cov_score,1
gnomad4__af_eas,1
allofus250k__gvs_eas_af,1
gnomad4__ac_nfe,1
gnomad4__nhomalt_nfe,1
chasmplus_READ__score,1
allofus250k__gvs_amr_af,1
allofus250k__gvs_sas_an,1
phastcons__phastcons17way_primate_r,1
chasmplus_TGCT__score,1
gnomad4__ac_asj,1
gnomad4__nhomalt_rem,1
gnomad4__nhomalt_sas,1
ccr__resid,1
fitcons__fitcons_coding_pred,1
swissprot_domains__topo,0
metarnn__pred,0
metarnn__all_annotations,0
alfa_asian__east_alt,0
metasvm__pred,0
mistic__bp4_benign,0
mistic__pred,0
abraom__allele_freq,0
sift__prediction,0
mirbase__id,0
mirbase__name,0
sift__bp4_benign,0
mutation_assessor__impact,0
sift__confidence,0
swissprot_binding__act,0
metalr__bp4_benign,0
gwas_catalog__disease,0
swissprot_binding__np,0
gerp__bp4_benign,0
geuvadis__gene,0
gmvp__all_annotations,0
grasp__phenotype,0
swissprot_binding__metal,0
vista_enhancer__element,0
gtex__gtex_gene,0
gtex__gtex_tissue,0
gwas_catalog__init_samp,0
revel__bp4_benign,0
gwas_catalog__rep_samp,0
gwas_catalog__risk_allele,0
swissprot_binding__pubmed,0
gwas_catalog__ci,0
swissprot_binding__dna,0
gwas_catalog__all_annots,0
vest__bp4_benign,0
swissprot_binding__ca,0
javierre_promoters__regions,0
swissprot_domains__transmem,0
