panel,k,n_features,f1_8020,f1_8020_std,f1_8020_ci_lo,f1_8020_ci_hi,mcc_8020,prec_8020,rec_8020,f1_5050,f1_vs_floor,floor,train_f1,train_test_gap,thr_8020
MASTER,10,10,0.4611853680078976,0.055753519666599,0.35537804307116105,0.5554228908058069,0.3065870783307451,0.3973018765180623,0.5553846153846154,0.6929577464788732,0.12785203467456424,0.33333333333333337,0.750088621056363,0.057130874577489776,0.6499999999999997
MASTER,25,25,0.5623531063748762,0.04603640584654048,0.46897754854368934,0.6572142857142858,0.4422803659761311,0.45960118531717703,0.7287179487179486,0.8087291399229781,0.22901977304154286,0.33333333333333337,0.8693982074263764,0.06066906750339829,0.5699999999999998
MASTER,50,50,0.5565555033237505,0.04986847004130787,0.45956408588158754,0.65625,0.43370764297440595,0.46282414499721014,0.7020512820512821,0.7984395318595578,0.2232221699904171,0.33333333333333337,0.8655844155844156,0.06714488372485772,0.6249999999999998
MASTER,100,100,0.5493214134747555,0.04802704127786355,0.4501227495908347,0.6355,0.4266478807171484,0.4337176148945114,0.7538461538461538,0.8171500630517023,0.21598808014142212,0.33333333333333337,0.8983104877271278,0.0811604246754255,0.5999999999999998
MASTER,200,200,0.5678330418032479,0.039323948221545064,0.4881084509275408,0.6401604655263622,0.45484430332810666,0.4422391014725812,0.796923076923077,0.840937114673243,0.23449970846991453,0.33333333333333337,0.937731196054254,0.09679408138101109,0.5199999999999998
MASTER,all,426,0.5577530187312595,0.0399812969631498,0.47237784754085166,0.6235805781547517,0.4411067466125683,0.432453824490354,0.7897435897435896,0.8355995055624228,0.22441968539792612,0.33333333333333337,0.9367869256860931,0.10118742012367032,0.5199999999999998
KANSER,10,10,0.4377430663785893,0.10441244389606637,0.268030303030303,0.6876838235294117,0.2600609042793673,0.31273001276329454,0.75,0.7924528301886793,0.10440973304525591,0.33333333333333337,0.8888888888888888,0.09643605870020955,0.5899999999999997
KANSER,25,25,0.5775908443122065,0.09549301840849146,0.34270833333333334,0.7400735294117646,0.48065895450640617,0.43453993228993226,0.8766666666666668,0.8807339449541285,0.24425751097887316,0.33333333333333337,0.9306930693069307,0.04995912435280225,0.6099999999999998
KANSER,50,50,0.5656558597920828,0.08794741838839218,0.35833333333333334,0.6970588235294117,0.46267545542189686,0.42764738039738037,0.8533333333333333,0.8703703703703703,0.2323225264587494,0.33333333333333337,0.9379652605459057,0.06759489017553533,0.6199999999999998
KANSER,100,100,0.6319194706222571,0.12206344614135083,0.34833333333333333,0.8,0.5445672592953992,0.5105671550671551,0.8466666666666667,0.8867924528301887,0.2985861372889237,0.33333333333333337,0.9512195121951219,0.0644270593649332,0.5399999999999998
KANSER,200,200,0.5891137931555889,0.11094340867107694,0.32846153846153847,0.7568681318681318,0.49058016797849574,0.4606371406371407,0.8366666666666667,0.8679245283018868,0.2557804598222555,0.33333333333333337,0.9588377723970944,0.09091324409520762,0.5299999999999998
KANSER,all,502,0.6262144463723411,0.11859466591678276,0.34833333333333333,0.8,0.5370859485791051,0.5076484626484626,0.8366666666666667,0.8761904761904762,0.29288111303900777,0.33333333333333337,0.9563106796116505,0.08012020342117432,0.5299999999999998
PAH,10,10,0.3024202398908281,0.12747762049825273,0.032142857142857154,0.5,0.04218474212884419,0.20226234876234872,0.62,0.7339449541284404,-0.030913093442505257,0.33333333333333337,0.815668202764977,0.08172324863653657,0.5299999999999998
PAH,25,25,0.3226046665752548,0.12887821812769204,0.12901785714285713,0.5454545454545454,0.05990070819949386,0.21218958818958822,0.7000000000000002,0.782608695652174,-0.010728666758078598,0.33333333333333337,0.8486238532110092,0.06601515755883525,0.5699999999999997
PAH,50,50,0.3677447356565003,0.09243930883313213,0.18541666666666667,0.5655844155844155,0.16475079863440215,0.24098729048729048,0.8133333333333332,0.8524590163934426,0.03441140232316692,0.33333333333333337,0.911062906724512,0.058603890331069386,0.48999999999999977
PAH,100,100,0.3103956403074051,0.08573612785576278,0.14285714285714285,0.4913461538461538,0.015269057097339772,0.1933479853479853,0.8,0.819672131147541,-0.022937693025928296,0.33333333333333337,0.9429175475687104,0.12324541642116937,0.4199999999999998
PAH,200,200,0.3101129328188152,0.11156805744528751,0.14285714285714285,0.5,0.019653598309746775,0.1975170385170385,0.7466666666666666,0.8067226890756303,-0.02322040051451818,0.33333333333333337,0.9200863930885529,0.11336370401292262,0.46999999999999986
PAH,all,408,0.3101129328188152,0.11156805744528751,0.14285714285714285,0.5,0.019653598309746775,0.1975170385170385,0.7466666666666666,0.8067226890756303,-0.02322040051451818,0.33333333333333337,0.9200863930885529,0.11336370401292262,0.46999999999999986
