config,n_est,max_feat,mcc_raw,mcc_prior,boot_mean,boot_std
n_est=10_maxfeat=0.7,10,0.7,0.5695594940809251,0.5618846209945947,0.6758417802437703,0.05195358554524124
n_est=10_maxfeat=0.85,10,0.85,0.5802355071184186,0.5802355071184186,0.6920342028901836,0.05224352742478113
n_est=10_maxfeat=1.0,10,1.0,0.6291024821515968,0.6377831631578511,0.7069766135791062,0.03533743779051842
n_est=20_maxfeat=0.7,20,0.7,0.5878789985553269,0.5843192156622554,0.7050211053569151,0.04977943539728493
n_est=20_maxfeat=0.85,20,0.85,0.580775883094795,0.5802355071184186,0.6930700035211731,0.04998584817116548
n_est=20_maxfeat=1.0,20,1.0,0.5798358924228885,0.5338158245150828,0.6794185951814389,0.05678217724469468
n_est=30_maxfeat=0.7,30,0.7,0.5726054309693855,0.5540297689733408,0.6881636065914111,0.05664841627125553
n_est=30_maxfeat=0.85,30,0.85,0.5874360953088703,0.5874360953088703,0.6994604173025758,0.04934870045282036
n_est=30_maxfeat=1.0,30,1.0,0.5798358924228885,0.5762121302123981,0.682145416485794,0.046716902108152374
n_est=50_maxfeat=0.7,50,0.7,0.6251666692536487,0.6251666692536487,0.7075576875973772,0.04166620449694528
n_est=50_maxfeat=0.85,50,0.85,0.6207360341546001,0.6207360341546001,0.7207709990236992,0.04660541785802613
n_est=50_maxfeat=1.0,50,1.0,0.6096438304803897,0.6058162713480271,0.6965547485644644,0.044670371020963
