Deney,n_train,LOO-MCC (raw),LOO-MCC (prior),LOO-F1,LOO-AUC,AUPRC,Precision,Recall,Boot-mean,Boot-std,Boot-lo,Boot-hi,Train-F1,Train-MCC,TN,FP,FN,TP
E1_COMBINED,3414,0.6496,0.6542,0.8676,0.9313,0.9643,0.9425,0.8038,0.7143,0.0412,0.6562,0.7887,0.9822,0.9354,107,13,52,213
E2_BalancedBagging,385,0.6291,0.6378,0.8583,0.9098,0.9398,0.9414,0.7887,0.707,0.0353,0.6349,0.7674,0.9027,0.7688,107,13,56,209
E3_C_BalBag_Platt_PriorShift,385,0.6337,0.6297,0.8536,0.9103,0.9357,0.9409,0.7811,0.7067,0.0407,0.6349,0.7714,0.9206,0.8023,107,13,58,207
E3_B_Platt_PriorShift,385,0.6151,0.6273,0.8571,0.8925,0.9195,0.9333,0.7925,0.6845,0.0402,0.6154,0.746,0.9648,0.9003,105,15,55,210
E4_Heterogeneous_Stack,385,0.5401,0.6139,0.8566,0.9015,0.9304,0.9217,0.8,0.6667,0.0379,0.5928,0.72,0.7983,0.5507,102,18,53,212
E5_Missing_Dual,385,0.6594,0.6111,0.8477,0.9056,0.9292,0.9321,0.7774,0.6789,0.0446,0.5938,0.75,1.0,1.0,105,15,59,206
E0_Baseline,385,0.6571,0.5683,0.8145,0.9053,0.929,0.9363,0.7208,0.6621,0.0577,0.5902,0.7495,1.0,1.0,107,13,74,191
E3_A_Raw_PriorShift,385,0.6571,0.5683,0.8145,0.9053,0.929,0.9363,0.7208,0.6621,0.0577,0.5902,0.7495,1.0,1.0,107,13,74,191
