experiment,boot_f1,boot_std,auprc,fp,fn
E0_P1_BALANCED_625_nn_ft,0.6017527901443177,0.05513171008875535,0.9465039308889741,12,30
E0_P1_BALANCED_625_dnn_ft,0.6468297418337005,0.07678218929800645,0.9338801444149025,7,41
E0_P3_COMBINED_RAW_nn_ft,0.6175881540968564,0.04941126099961354,0.9043472764140597,13,22
E0_P3_COMBINED_RAW_dnn_ft,0.6212538007613388,0.04532840355305772,0.9266287257964978,13,22
