panel,sutun,n_kaldirildi,f1,auc_roc,auc_pr,precision,recall,mcc,elapsed_sec
General,Baseline (tum ozellikler),0,0.9465478841870824,0.9674118406383853,0.9825175945767262,0.9219088937093276,0.9725400457665904,0.8192080285317811,24.1
General,blosum62_alt_self,1,0.9465478841870824,0.9671067300357918,0.9837929605588577,0.9219088937093276,0.9725400457665904,0.8192080285317811,23.0
General,blosum62_delta,1,0.9498327759197325,0.9693246494161826,0.9851736812603601,0.9260869565217391,0.9748283752860412,0.8307294750813418,23.7
General,blosum62_ref_self,1,0.9492671927846674,0.9700287508067829,0.9856405739991927,0.9355555555555556,0.9633867276887872,0.8309925804648988,23.2
General,blosum62_score,1,0.9451287793952967,0.9704042715484362,0.9859950414258842,0.9254385964912281,0.965675057208238,0.8153972856752024,22.7
General,chirality_shift,1,0.9459459459459459,0.9694537346711259,0.9856070735445355,0.9312638580931264,0.9610983981693364,0.8195434768631815,22.0
General,conservation_product,1,0.9474860335195531,0.9700756908994895,0.9857852939131826,0.925764192139738,0.9702517162471396,0.8230101763606895,23.0
General,delta_charge,1,0.9439461883408071,0.9683389074693424,0.9845561281987201,0.9252747252747253,0.9633867276887872,0.8116297770674108,22.8
General,delta_hydropathy,1,0.9486607142857143,0.9693598544857126,0.9849582229560937,0.9259259259259259,0.9725400457665904,0.8268563276513949,23.1
General,delta_pi,1,0.9456159822419534,0.9698409904359562,0.9858377691631452,0.9181034482758621,0.9748283752860412,0.8154828265275781,22.7
General,delta_volume,1,0.9470124013528749,0.968421052631579,0.9851036619844373,0.9333333333333333,0.9610983981693364,0.8234274381346027,22.1
General,gerp__gerp_nr,1,0.9451287793952967,0.9662148682743649,0.9829563861605632,0.9254385964912281,0.965675057208238,0.8153972856752024,22.5
General,gerp__gerp_rs,1,0.9443813847900113,0.9680924719826322,0.9835049235501894,0.9369369369369369,0.9519450800915332,0.8167514688976032,22.2
General,gerp_x_phylop,1,0.9440715883668904,0.9695710849028927,0.9853511469970118,0.9234135667396062,0.965675057208238,0.8115349776305105,22.6
General,gnomad4__af,1,0.9387755102040817,0.9546676054685208,0.9772420527250878,0.9303370786516854,0.9473684210526315,0.797811992210969,21.8
