panel,sutun,n_kaldirildi,f1,auc_roc,auc_pr,precision,recall,mcc,elapsed_sec,delta_f1,delta_auc
General,Baseline (tum ozellikler),0,0.9465478841870824,0.9674118406383851,0.9825175945767262,0.9219088937093276,0.9725400457665904,0.8192080285317811,24.1,0.0,0.0
General,blosum62_alt_self,1,0.9465478841870824,0.9671067300357918,0.9837929605588576,0.9219088937093276,0.9725400457665904,0.8192080285317811,23.0,0.0,-0.0003051106025933059
General,blosum62_delta,1,0.9498327759197324,0.9693246494161826,0.98517368126036,0.9260869565217392,0.9748283752860412,0.8307294750813418,23.7,0.0032848917326500082,0.0019128087777974256
General,blosum62_ref_self,1,0.9492671927846674,0.9700287508067827,0.9856405739991928,0.9355555555555556,0.9633867276887872,0.8309925804648988,23.2,0.0027193085975850684,0.0026169101683976015
General,blosum62_score,1,0.9451287793952968,0.9704042715484362,0.9859950414258842,0.925438596491228,0.965675057208238,0.8153972856752024,22.7,-0.0014191047917855304,0.0029924309100510804
General,chirality_shift,1,0.945945945945946,0.969453734671126,0.9856070735445356,0.9312638580931264,0.9610983981693364,0.8195434768631815,22.0,-0.0006019382411363017,0.0020418940327409096
General,conservation_product,1,0.9474860335195532,0.9700756908994896,0.9857852939131826,0.925764192139738,0.9702517162471396,0.8230101763606895,23.0,0.0009381493324708279,0.0026638502611044945
General,delta_charge,1,0.9439461883408072,0.9683389074693424,0.98455612819872,0.9252747252747252,0.9633867276887872,0.8116297770674108,22.8,-0.0026016958462751205,0.0009270668309572239
General,delta_hydropathy,1,0.9486607142857144,0.9693598544857126,0.9849582229560936,0.925925925925926,0.9725400457665904,0.8268563276513949,23.1,0.002112830098632057,0.0019480138473274566
General,delta_pi,1,0.9456159822419534,0.9698409904359562,0.9858377691631452,0.918103448275862,0.9748283752860412,0.8154828265275781,22.7,-0.0009319019451289323,0.0024291497975710286
General,delta_volume,1,0.9470124013528748,0.968421052631579,0.9851036619844372,0.9333333333333332,0.9610983981693364,0.8234274381346027,22.1,0.00046451716579243296,0.0010092119931938148
General,gerp__gerp_nr,1,0.9451287793952968,0.9662148682743648,0.9829563861605632,0.925438596491228,0.965675057208238,0.8153972856752024,22.5,-0.0014191047917855304,-0.0011969723640203878
General,gerp__gerp_rs,1,0.9443813847900112,0.9680924719826322,0.9835049235501894,0.9369369369369368,0.9519450800915332,0.8167514688976032,22.2,-0.002166499397071142,0.0006806313442470069
General,gerp_x_phylop,1,0.9440715883668904,0.9695710849028928,0.9853511469970118,0.9234135667396062,0.965675057208238,0.8115349776305105,22.6,-0.0024762958201919316,0.0021592442645076426
General,gnomad4__af,1,0.9387755102040816,0.9546676054685208,0.9772420527250878,0.9303370786516854,0.9473684210526316,0.797811992210969,21.8,-0.007772373983000791,-0.012744235169864337
General,gnomad4__an,1,0.9384615384615383,0.9662735433902482,0.9845148378330728,0.9027484143763214,0.977116704805492,0.7889974370235027,22.2,-0.008086345725544009,-0.0011382972481369658
General,gnomad4__nhomalt,1,0.9445073612684032,0.9672240802675586,0.984236656664628,0.9349775784753364,0.954233409610984,0.8164094128332864,21.6,-0.0020405229186791773,-0.00018776037082657293
General,grantham_distance,1,0.9463087248322148,0.9685149328169922,0.9847247958619764,0.925601750547046,0.9679633867276888,0.8191906251543926,22.7,-0.00023915935486751305,0.0011030921786070458
General,is_transition,1,0.9465478841870824,0.9697236402041894,0.9854661841794295,0.9219088937093276,0.9725400457665904,0.8192080285317811,23.1,0.0,0.0023117995658042956
General,phastcons__phastcons100_vert,1,0.9464285714285714,0.97155430381975,0.9862239220339823,0.9237472766884532,0.9702517162471396,0.8191733484097982,21.7,-0.0001193127585109588,0.004142463181364908
General,phylop__phylop100_vert,1,0.948081264108352,0.9707093821510298,0.9861494714169676,0.935412026726058,0.9610983981693364,0.8273109490428098,22.2,0.001533379921269673,0.0032975415126446084
General,polarity_change,1,0.9443813847900112,0.9701930411312564,0.9856184516813344,0.9369369369369368,0.9519450800915332,0.8167514688976032,22.0,-0.002166499397071142,0.0027812004928712275
Hereditary_Cancer,Baseline (tum ozellikler),0,0.9361702127659576,0.9810250391236308,0.9822490775526472,0.9428571428571428,0.9295774647887324,0.8741929339700124,8.6,0.0,0.0
Hereditary_Cancer,blosum62_alt_self,1,0.9324324324324323,0.9800469483568076,0.981008275151891,0.8961038961038961,0.971830985915493,0.8632566320727845,8.5,-0.0037377803335252313,-0.000978090766823203
Hereditary_Cancer,blosum62_delta,1,0.9285714285714286,0.98141627543036,0.9825233619746668,0.9420289855072465,0.9154929577464788,0.8604425049670408,8.5,-0.007598784194528974,0.0003912363067292146
Hereditary_Cancer,blosum62_ref_self,1,0.927536231884058,0.9812206572769951,0.982671736396438,0.9552238805970148,0.9014084507042254,0.8614285460751462,8.6,-0.008633980881899594,0.00019561815336432975
Hereditary_Cancer,blosum62_score,1,0.9315068493150684,0.9810250391236308,0.9814423305636428,0.9066666666666666,0.9577464788732394,0.8615360433104948,8.6,-0.004663363450889135,0.0
