fe_mode,panel,model,thr_mode,threshold,train_f1,train_precision,train_recall,train_mcc,test_f1_5050,test_precision_5050,test_recall_5050,test_mcc_5050,test_f1_8020_mean,test_f1_8020_std,test_f1_8020_lo,test_f1_8020_hi,n_test
no_fe,CFTR,lightgbm,f1_raw,0.43,0.7853025936599424,0.7590529247910863,0.8134328358208955,0.543542799240064,0.8809523809523809,0.9487179487179487,0.8222222222222222,0.5533499799528752,0.6283333333333333,0.18435537627610635,0.07500000000000002,0.75,56
no_fe,CFTR,lightgbm,f1_8020,0.65,0.752,0.8103448275862069,0.7014925373134329,0.5313643778139788,0.85,0.9714285714285714,0.7555555555555555,0.5454433219945198,0.6697142857142856,0.2072030782740896,0.09000000000000004,0.8571428571428571,56
no_fe,CFTR,lightgbm,mcc_8020,0.65,0.752,0.8103448275862069,0.7014925373134329,0.5313643778139788,0.85,0.9714285714285714,0.7555555555555555,0.5454433219945198,0.6697142857142856,0.2072030782740896,0.09000000000000004,0.8571428571428571,56
no_fe,CFTR,catboost,f1_raw,0.36,0.7805194805194805,0.6908045977011494,0.8970149253731343,0.5019283533770984,0.9302325581395349,0.975609756097561,0.8888888888888888,0.7159075429722652,0.7931428571428569,0.11388883468833397,0.46,0.8571428571428571,56
no_fe,CFTR,catboost,f1_8020,0.61,0.7420965058236273,0.8383458646616542,0.6656716417910448,0.5393243356083979,0.8157894736842105,1.0,0.6888888888888889,0.550555275255002,0.7639999999999999,0.2636361128525453,0.0,1.0,56
no_fe,CFTR,catboost,mcc_8020,0.61,0.7420965058236273,0.8383458646616542,0.6656716417910448,0.5393243356083979,0.8157894736842105,1.0,0.6888888888888889,0.550555275255002,0.7639999999999999,0.2636361128525453,0.0,1.0,56
no_fe,CFTR,nn,f1_raw,0.34,0.7408394403730846,0.6690734055354994,0.8298507462686567,0.412367303758311,0.8604651162790697,0.9024390243902439,0.8222222222222222,0.4114202841891245,0.48611111111111116,0.14002314623476178,0.25,0.6,56
no_fe,CFTR,nn,f1_8020,0.53,0.652027027027027,0.7509727626459144,0.5761194029850746,0.3831404478680879,0.7123287671232876,0.9285714285714286,0.5777777777777777,0.3146266024828463,0.5414285714285714,0.1862665780413601,0.07500000000000002,0.75,56
no_fe,CFTR,nn,mcc_8020,0.53,0.652027027027027,0.7509727626459144,0.5761194029850746,0.3831404478680879,0.7123287671232876,0.9285714285714286,0.5777777777777777,0.3146266024828463,0.5414285714285714,0.1862665780413601,0.07500000000000002,0.75,56
no_fe,CFTR,dnn,f1_raw,0.33,0.7396562698917887,0.6448390677025527,0.8671641791044776,0.392689703876997,0.8863636363636364,0.9069767441860465,0.8666666666666667,0.4733592233193649,0.5234444444444445,0.12435656619397126,0.25,0.6,56
no_fe,CFTR,dnn,f1_8020,0.52,0.6294681778552746,0.7568134171907757,0.5388059701492537,0.3696213153987036,0.8051948051948052,0.96875,0.6888888888888889,0.4800743488996059,0.6525714285714286,0.20059991657678283,0.4,0.8571428571428571,56
no_fe,CFTR,dnn,mcc_8020,0.54,0.5746268656716418,0.7661691542288557,0.4597014925373134,0.3374134250579062,0.8,1.0,0.6666666666666666,0.5310850045437944,0.774,0.22163934668736057,0.5,1.0,56
no_fe,CFTR,nn_ft,f1_raw,0.35,0.8471074380165289,0.7864450127877238,0.917910447761194,0.6679703468553005,0.810126582278481,0.9411764705882353,0.7111111111111111,0.4305740905188479,0.5438095238095237,0.1929811476699449,0.07500000000000002,0.75,56
no_fe,CFTR,nn_ft,f1_8020,0.45,0.8162291169451074,0.8739352640545145,0.7656716417910447,0.6521970437734871,0.7123287671232876,0.9285714285714286,0.5777777777777777,0.3146266024828463,0.47023809523809523,0.21516025246397813,0.0,0.75,56
no_fe,CFTR,nn_ft,mcc_8020,0.45,0.8162291169451074,0.8739352640545145,0.7656716417910447,0.6521970437734871,0.7123287671232876,0.9285714285714286,0.5777777777777777,0.3146266024828463,0.47023809523809523,0.21516025246397813,0.0,0.75,56
no_fe,CFTR,dnn_ft,f1_raw,0.37,0.8501400560224089,0.8007915567282322,0.9059701492537313,0.6768401892469316,0.7466666666666667,0.9333333333333333,0.6222222222222222,0.35083797269862776,0.4888095238095238,0.21083746735749642,0.0,0.75,56
no_fe,CFTR,dnn_ft,f1_8020,0.52,0.7581930912311781,0.9324618736383442,0.6388059701492538,0.6175544214166996,0.6470588235294118,0.9565217391304348,0.4888888888888889,0.32139768092563215,0.5024761904761905,0.23963358272215096,0.0,0.8571428571428571,56
no_fe,CFTR,dnn_ft,mcc_8020,0.52,0.7581930912311781,0.9324618736383442,0.6388059701492538,0.6175544214166996,0.6470588235294118,0.9565217391304348,0.4888888888888889,0.32139768092563215,0.5024761904761905,0.23963358272215096,0.0,0.8571428571428571,56
no_fe,CFTR,stack_lr,f1_raw,0.44,0.8599105812220567,0.8586309523809523,0.8611940298507462,0.7116496231780923,0.7894736842105263,0.967741935483871,0.6666666666666666,0.4601415057116586,0.6015238095238095,0.22752426797378517,0.0,0.8571428571428571,56
no_fe,CFTR,stack_lr,f1_8020,0.67,0.8357487922705314,0.9073426573426573,0.7746268656716417,0.6962325167714017,0.7222222222222222,0.9629629629629629,0.5777777777777777,0.38710926171421095,0.5634285714285714,0.22424767648330998,0.0,0.8571428571428571,56
no_fe,CFTR,stack_lr,mcc_8020,0.67,0.8357487922705314,0.9073426573426573,0.7746268656716417,0.6962325167714017,0.7222222222222222,0.9629629629629629,0.5777777777777777,0.38710926171421095,0.5634285714285714,0.22424767648330998,0.0,0.8571428571428571,56
no_fe,CFTR,stack_gbm,f1_raw,0.42,0.9022447501810282,0.8762306610407876,0.9298507462686567,0.7941817111394199,0.7894736842105263,0.967741935483871,0.6666666666666666,0.4601415057116586,0.6068571428571428,0.22585721815606705,0.0,0.8571428571428571,56
no_fe,CFTR,stack_gbm,f1_8020,0.77,0.8508845829823083,0.97678916827853,0.753731343283582,0.7509395050829994,0.6857142857142857,0.96,0.5333333333333333,0.3535824201784324,0.5238095238095237,0.24142434484888692,0.0,0.8571428571428571,56
no_fe,CFTR,stack_gbm,mcc_8020,0.77,0.8508845829823083,0.97678916827853,0.753731343283582,0.7509395050829994,0.6857142857142857,0.96,0.5333333333333333,0.3535824201784324,0.5238095238095237,0.24142434484888692,0.0,0.8571428571428571,56
no_fe,KANSER,lightgbm,f1_raw,0.29,0.7971188475390156,0.7304730473047305,0.8771466314398944,0.5374258052882132,0.927536231884058,0.8951048951048951,0.9624060150375939,0.7526204288076178,0.6545172656800563,0.016121073862589094,0.6363636363636364,0.6666666666666666,193
