col,miss_ratio,miss_rate_patho,miss_rate_benign,delta,phi,abs_phi,p_value,note
AL_325,0.3387096774193548,0.38387096774193546,0.11290322580645161,0.27096774193548384,0.21337397986763207,0.21337397986763207,3.332877103884506e-05,ok
AL_314,0.3387096774193548,0.38387096774193546,0.11290322580645161,0.27096774193548384,0.21337397986763207,0.21337397986763207,3.332877103884506e-05,ok
AL_317,0.3387096774193548,0.38387096774193546,0.11290322580645161,0.27096774193548384,0.21337397986763207,0.21337397986763207,3.332877103884506e-05,ok
AL_318,0.3387096774193548,0.38387096774193546,0.11290322580645161,0.27096774193548384,0.21337397986763207,0.21337397986763207,3.332877103884506e-05,ok
AL_319,0.3387096774193548,0.38387096774193546,0.11290322580645161,0.27096774193548384,0.21337397986763207,0.21337397986763207,3.332877103884506e-05,ok
AL_322,0.3387096774193548,0.38387096774193546,0.11290322580645161,0.27096774193548384,0.21337397986763207,0.21337397986763207,3.332877103884506e-05,ok
AL_323,0.3387096774193548,0.38387096774193546,0.11290322580645161,0.27096774193548384,0.21337397986763207,0.21337397986763207,3.332877103884506e-05,ok
AL_313,0.3387096774193548,0.38387096774193546,0.11290322580645161,0.27096774193548384,0.21337397986763207,0.21337397986763207,3.332877103884506e-05,ok
AL_326,0.3387096774193548,0.38387096774193546,0.11290322580645161,0.27096774193548384,0.21337397986763207,0.21337397986763207,3.332877103884506e-05,ok
AL_327,0.3387096774193548,0.38387096774193546,0.11290322580645161,0.27096774193548384,0.21337397986763207,0.21337397986763207,3.332877103884506e-05,ok
AL_328,0.3387096774193548,0.38387096774193546,0.11290322580645161,0.27096774193548384,0.21337397986763207,0.21337397986763207,3.332877103884506e-05,ok
AL_329,0.3387096774193548,0.38387096774193546,0.11290322580645161,0.27096774193548384,0.21337397986763207,0.21337397986763207,3.332877103884506e-05,ok
AL_330,0.3387096774193548,0.38387096774193546,0.11290322580645161,0.27096774193548384,0.21337397986763207,0.21337397986763207,3.332877103884506e-05,ok
AL_331,0.3387096774193548,0.38387096774193546,0.11290322580645161,0.27096774193548384,0.21337397986763207,0.21337397986763207,3.332877103884506e-05,ok
AL_333,0.3387096774193548,0.38387096774193546,0.11290322580645161,0.27096774193548384,0.21337397986763207,0.21337397986763207,3.332877103884506e-05,ok
AL_334,0.3387096774193548,0.38387096774193546,0.11290322580645161,0.27096774193548384,0.21337397986763207,0.21337397986763207,3.332877103884506e-05,ok
AL_311,0.3387096774193548,0.38387096774193546,0.11290322580645161,0.27096774193548384,0.21337397986763207,0.21337397986763207,3.332877103884506e-05,ok
