name,thr_raw,thr_f1_8020,thr_mcc_8020,f1_5050,mcc_5050,prec_5050,rec_5050,auc_roc,auc_pr,f1_8020_mean,f1_8020_std,f1_8020_ci,mcc_8020_mean,prec_8020_mean,rec_8020_mean,f1_8020_mcc_thr,mcc_8020_mcc_thr,n_features
ablation_full,0.19999999999999996,0.6299999999999997,0.5799999999999997,0.8354114713216958,0.49924505226527716,0.9005376344086021,0.7790697674418605,0.8377277440379203,0.9161554770281376,0.5766430480468139,0.04009918207856559,"[0.505, 0.657]",0.464636278146306,0.4587486804499903,0.781025641025641,0.5793849347039516,0.4708913589866014,439
ablation_-EK,0.23999999999999994,0.6499999999999997,0.5999999999999998,0.8327044025157233,0.5049504321435264,0.9068493150684932,0.7697674418604651,0.8355206636053918,0.9124748763920043,0.5881016865477828,0.040058819455781026,"[0.514, 0.668]",0.4788715156504195,0.4773233332689197,0.7707692307692307,0.5933016382256221,0.4872303447548693,430
ablation_-CAT,0.23999999999999994,0.6599999999999997,0.6099999999999998,0.8331242158092849,0.5021587320679238,0.9046321525885559,0.772093023255814,0.8365279217893646,0.9142921495784508,0.5819797900286481,0.04239718939763538,"[0.516, 0.658]",0.4709876470134956,0.46940191437528406,0.7707692307692308,0.5890010848899486,0.48179332794531826,435
ablation_-AA,0.20999999999999996,0.6499999999999997,0.5999999999999998,0.8261964735516373,0.4865285165156872,0.9010989010989011,0.7627906976744186,0.8348096578284698,0.9143786463948144,0.57335196444255,0.04313427626391394,"[0.486, 0.661]",0.4587295151786909,0.461475010448157,0.7615384615384616,0.5750523720348996,0.46321583748421113,437
ablation_-FE,0.20999999999999996,0.5899999999999997,0.5899999999999997,0.8479604449938195,0.5259782565370812,0.9050131926121372,0.7976744186046512,0.8350318471337579,0.9151079910919032,0.588970412642188,0.041877630817156376,"[0.516, 0.673]",0.4821169455243346,0.46858512813367215,0.796923076923077,0.588970412642188,0.4821169455243346,425
ablation_-is_missing,0.12,0.6599999999999997,0.6549999999999997,0.8345864661654135,0.5047480856603356,0.904891304347826,0.7744186046511627,0.8374611168715745,0.9176762316194121,0.5899881874996367,0.04350794266331106,"[0.511, 0.664]",0.4818066830017395,0.4756660174212971,0.7815384615384615,0.5832628401321273,0.4733657393241329,301
ablation_-leakage_AL,0.19999999999999996,0.6899999999999997,0.5649999999999997,0.8272383354350568,0.4919132210472348,0.9035812672176309,0.7627906976744186,0.8358909791142052,0.9124603081190985,0.5784968338646115,0.04071231086227112,"[0.501, 0.670]",0.4659190285719984,0.4676883095532551,0.7635897435897435,0.5679086617162509,0.45736807976150073,419
ablation_-AL_all,0.13,0.7999999999999996,0.7999999999999996,0.7362637362637363,0.3826349559854226,0.8993288590604027,0.6232558139534884,0.8020589542290032,0.8896021244764475,0.5202533336678832,0.06270047021525726,"[0.388, 0.617]",0.3869086340929495,0.45277632706406434,0.6174358974358976,0.5202533336678832,0.3869086340929495,167
ablation_only_EK,0.1,0.6399999999999997,0.6699999999999997,0.7549148099606815,0.342299483779039,0.8648648648648649,0.6697674418604651,0.742845504369723,0.877323985859831,0.4780560861703727,0.05133684747168433,"[0.407, 0.581]",0.32358175417158797,0.37461697166171104,0.6651282051282051,0.4728320957984222,0.31654138654704517,9
