col,n,mean,std,mn,mx,q50,miss,nuniq,is_bin,prev,in01,has_neg,skew,lgroup
base__exonno,62669,13.664746525395332,22.088089772094097,1.0,363.0,8.0,0.012511227014165734,239,False,,False,False,8.581536955853238,OTHER
abraom__allele_freq,206,0.06129063592233009,0.16135749358951754,0.000821,0.999179,0.005747,0.9967540141499771,100,False,,True,False,3.551573297207009,FREQ
alfa__total_alt,44953,3997.778435254599,17579.476032361457,0.0,187161.0,15.0,0.29166601011613064,6385,False,,False,False,5.876487530616628,OTHER
alfa__total_freq,44953,0.039665747125595216,0.14160277298833507,0.0,1.0,0.0003952980339124,0.29166601011613064,24006,False,,True,False,4.654881101702013,FREQ
alfa_asian__east_alt,53,1.528301886792453,5.412250255687433,0.0,27.0,0.0,0.999164867718198,7,False,,False,False,3.858275164784113,OTHER
alfa_asian__east_freq,53,0.027297197108517857,0.1397594897262274,0.0,1.0,0.0,0.999164867718198,8,False,,True,False,6.572765957749561,FREQ
alfa_asian__south_alt,53,1.320754716981132,7.389633031654917,0.0,52.0,0.0,0.999164867718198,4,False,,False,False,6.3804297835470365,OTHER
alfa_asian__south_freq,53,0.03007229688605221,0.14355000135602777,0.0,1.0,0.0,0.999164867718198,6,False,,True,False,6.089433901334665,FREQ
alfa_asian__other_alt,53,0.9056603773584906,3.788972617718811,0.0,24.0,0.0,0.999164867718198,6,False,,False,False,4.999110685260255,OTHER
alfa_asian__other_freq,53,0.025119454879985445,0.13886686905147957,0.0,1.0,0.0,0.999164867718198,6,False,,True,False,6.729165130809957,FREQ
alfa_asian__asian_alt,53,2.4339622641509435,9.009630390186903,0.0,48.0,0.0,0.999164867718198,7,False,,False,False,4.099604130756835,OTHER
alfa_asian__asian_freq,53,0.026444435000220663,0.13934775785194362,0.0,1.0,0.0,0.999164867718198,8,False,,True,False,6.641109424776296,FREQ
alfa_european__european_alt,27979,3668.7452374995532,15768.686523735098,0.0,155101.0,6.0,0.5591289412728676,4457,False,,False,False,5.640636999181859,OTHER
alfa_european__european_freq,27979,0.04142705801147902,0.14612713526429602,0.0,1.0,0.0001570105197048,0.5591289412728676,14175,False,,True,False,4.5318631677430785,FREQ
alfa_latin_american__latin1_alt,42730,11.388228410952493,56.72054823498943,0.0,670.0,0.0,0.3266942943132219,532,False,,False,False,6.305997397899265,OTHER
alfa_latin_american__latin1_freq,42730,0.030221872858098655,0.12408630677516622,0.0,1.0,0.0,0.3266942943132219,2620,False,,True,False,5.282133311795013,FREQ
alfa_latin_american__latin2_alt,42730,104.61401825415399,542.4079557284163,0.0,7232.0,0.0,0.3266942943132219,1959,False,,False,False,6.776725700655576,OTHER
alfa_latin_american__latin2_freq,42730,0.029984321098888177,0.12653249205526482,0.0,1.0,0.0,0.3266942943132219,3713,False,,True,False,5.382194450270222,FREQ
alfa_other__other_alt,25761,286.3973448235705,1128.090773371097,0.0,10339.0,4.0,0.594078439405638,2270,False,,False,False,5.4925854301860015,OTHER
alfa_other__other_freq,25761,0.04166618314055899,0.144365645684937,0.0,1.0,0.0007204610951009,0.594078439405638,9274,False,,True,False,4.520992992640828,FREQ
