label,thr_raw,thr_8020,f1_raw,f1_5050_8020thr,mcc_5050_8020thr,prec_5050,rec_5050,f1_8020_boot,f1_8020_std,f1_8020_ci_lo,f1_8020_ci_hi,mcc_8020_boot,auprc,fp,fn,tp,tn,floor_f1,gecti_mi_floor,train_f1,train_mcc,train_test_gap,panel,pool,n_pool,elapsed_sec
CFTR/P0_HAM_COMBINED/tabpfn,0.66,0.73,0.9024390243902439,0.8461538461538461,0.5922200922639821,1.0,0.7333333333333333,0.8039999999999999,0.21629609335353242,0.5,1.0,0.803276665697576,0.9893665032572644,0,12,33,11,0.8910891089108911,False,0.9216764650104305,0.7463606999476632,0.11767646501043061,CFTR,P0_HAM_COMBINED,3740,735.7084670066833
CFTR/P1_REVERSE_6040/tabpfn,0.52,0.55,0.6363636363636364,0.59375,0.3542958164098548,1.0,0.4222222222222222,0.506,0.2641287564806225,0.0,0.9549999999999997,0.5200112138289265,0.9890245225404196,0,26,19,11,0.8910891089108911,False,0.8752941176470588,0.7950183974097313,0.3692941176470588,CFTR,P1_REVERSE_6040,1623,210.74905610084534
PAH/P0_HAM_COMBINED/tabpfn,0.53,0.73,0.926829268292683,0.9245901639344263,0.5596363545159618,0.9276315789473685,0.9215686274509803,0.5550905982905983,0.04094870811308597,0.48,0.5925925925925926,0.45333750877334067,0.9476209649535718,11,12,141,20,0.9080118694362018,False,0.92425431711146,0.7520537312192888,0.36916371882086174,PAH,P0_HAM_COMBINED,3612,549.6648449897766
PAH/P1_REVERSE_6040/tabpfn,0.42,0.5,0.8835616438356164,0.8029739776951673,0.34725179481122764,0.9310344827586207,0.7058823529411765,0.5109594539708957,0.08524775828611275,0.33473684210526317,0.653623188405797,0.3687332448101332,0.9531913404416207,8,45,108,23,0.9080118694362018,False,0.8759007205764612,0.7960422076674395,0.3649412666055655,PAH,P1_REVERSE_6040,1590,230.87375402450562
KANSER/P0_HAM_COMBINED/tabpfn,0.54,0.73,0.9236111111111112,0.9347826086956522,0.7781711311400488,0.9020979020979021,0.9699248120300752,0.6676291150709756,0.01883069354778919,0.6190476190476191,0.6818181818181818,0.606321255792038,0.9611638442731558,14,4,129,46,0.8159509202453987,False,0.9254488680718189,0.7524698894549934,0.25781975300084337,KANSER,P0_HAM_COMBINED,3603,573.3555529117584
KANSER/P1_REVERSE_6040/tabpfn,0.44,0.54,0.9022556390977443,0.8674698795180723,0.6415091464545565,0.9310344827586207,0.8120300751879699,0.6877798896690338,0.05668335009622063,0.6060606060606061,0.7894736842105263,0.6080706366183478,0.9579693332743022,8,25,108,52,0.8159509202453987,False,0.8580968280467446,0.7690199070581241,0.17031693837771078,KANSER,P1_REVERSE_6040,1542,213.294939994812
MASTER/P0_HAM_COMBINED/tabpfn,0.65,0.75,0.8744789254284391,0.8176229508196722,0.4873642766917979,0.9099201824401368,0.7423255813953489,0.5811409494095734,0.02267299454810365,0.5371900826446281,0.6254950944767442,0.4658533233442116,0.9198268532166327,79,277,798,312,0.8461235733963007,False,0.9269323671497585,0.7593897943894136,0.34579141774018507,MASTER,P0_HAM_COMBINED,2330,403.90637397766113
MASTER/P1_REVERSE_6040/tabpfn,0.46,0.47,0.7491749174917491,0.7422222222222222,0.42069787501893197,0.9213793103448276,0.6213953488372093,0.5678958243068062,0.03301057164179646,0.5015950069348127,0.6283185840707964,0.4503231653525712,0.9162087306031517,57,407,668,334,0.8461235733963007,False,0.8992443324937027,0.831798776088541,0.33134850818689654,MASTER,P1_REVERSE_6040,990,198.78899002075195
